106006,Dhanaulti,Uttarakhand ,UK,India,IN
106010,Dindigul,tamil Nadu,TN,India,IN
106106,Giridih,Jharkhand,JH,India,IN
106131,Guntur,Andhra Pradesh,AP,India,IN
106186,Khandwa,Madhya Pradesh,MP,India,IN
106208,Cherai Beach,Kerala,KL,India,IN
106255,Devprayag,Uttarakhand,UK,India,IN
106383,Thakurdwara,Uttar Pradesh,UP,India,IN
106394,Tiruttani,Tamil Nadu,TN,India,IN
106481,Margao,Goa,GA,India,IN
106510,Mirik,West Bengal,WB,India,IN
106514,Mohali,Punjab,PB,India,IN
106556,North Paravur,Kerala,KL,India,IN
106580,Pangong Tso Lake,Jammu And Kashmir,JK,India,IN
106639,Sholayur,Kerala,KL,India,IN
106649,Singrauli,Madhya Pradesh,MP,India,IN
106650,Sirkazhi,Tamil Nadu,TN,India,IN
106651,Skara,Maharashtra ,MH,India,IN
106662,Pateri,Bihar,BR,India,IN
106663,Patiala,Punjab,PB,India,IN
106676,Phaltan,Maharashtra ,MH,India,IN
106703,Pudukkotai,Tamil Nadu,TN,India,IN
106770,Sanand,Gujarat,GJ,India,IN
106849,Trimbak,Maharashtra ,MH,India,IN
106856,Tura,Meghalaya,ML,India,IN
106898,Sitlakhet,Uttarakhand ,UK,India,IN
106955,Thodupuzha,Kerala,KA,India,IN
106958,Thumkunta,Telangana,TG,India,IN
106963,Titwala,Maharashtra,MH,India,IN
107078,Sultan Bathery,Kerala,KL,India,IN
107210,Vajrahalli,Karnataka,KA,India,IN
107226,Sitalakhet,Uttarakhand ,UK,India,IN
107250,Sri Ganganagar,Rajasthan,RJ,India,IN
107275,Sungal,Jammu Kashmir,JK,India,IN
107371,Shamshabad,Telangana,TG,India,IN
107390,Vishakapatnam,Andhra Pradesh,AP,India,IN
107391,Vizianagaram,Andhra Pradesh,AP,India,IN
107703,Wakad,Maharashtra,MH,India,IN
107754,Suratgarh,Rajasthan,RJ,India,IN
107782,Tinsukia,Assam,AS,India,IN
107855,Vasco da Gama,Goa,GA,India,IN
107887,Wandoor,Kerala,KL,India,IN
107938,Uruli Kanchan,Maharashtra,MH,India,IN
107944,Vaikom,Kerala,KL,India,IN
107957,Verem,Goa,GA,India,IN
108056,Bhagalpur,Bihar,BR,India,IN
108057,Bhuntar,Himachal Pradesh,HP,India,IN
108141,Chhindwara,Madhya Pradesh,MP,India,IN
108144,Chittorgarh,Rajasthan,RJ,India,IN
108256,Goa Velha,Goa,GA,India,IN
108265,Govardhan,Uttar Pradesh,UP,India,IN
108361,Katihar,Bihar,BR,India,IN
108369,Kihim,Maharashtra,MH,India,IN
108572,Stok,Jammu And Kashmir,JK,India,IN
108863,Dwarka,Gujarat,GJ,India,IN
109000,Bhiwadi,Rajasthan,RJ,India,IN
109093,Alwar,Rajasthan,RJ,India,IN
109167,Arcot,Tamil Nadu,TN,India,IN
109446,Anand,Gujarat,GJ,India,IN
109524,Alappuzha,Kerala,KL,India,IN
109665,Auroville,Tamil Nadu,TN,India,IN
109814,Badrinath,Uttarakhand,UK,India,IN
109872,Arpora,Goa,GA,India,IN
109973,Aronda,Maharashtra ,MH,India,IN
110041,B. R. Hills,Mizoram,MZ,India,IN
110211,Asansol,West Bengal,WB,India,IN
